"id";"x";"y"
608;-372;-1623
611;-450;877
612;-1226;663
613;-1217;-209
615;-1124;-314
616;-1484;-315
617;-1437;-258
618;-1354;-920
619;603;2808
620;-873;132
621;-1652;-568
623;-216;-543
624;-890;-1952
625;1264;-13
626;2481;-55
627;2785;50
628;2367;344
629;225;-1582
630;-783;-400
631;-781;-1926
632;-495;-1741
633;-981;-1545
634;821;-1620
636;-511;-1681
637;-299;-1573
638;-1781;-143
639;-897;-1918
641;-123;490
643;430;879
644;-353;-1360
645;-344;-495
646;352;730
648;702;-369
649;-966;-911
651;-877;-430
652;-759;213
653;-1291;-525
654;-467;-324
655;-982;854
656;-1145;-1648
657;-1316;-71
658;-441;809
659;-1212;-994
663;-1132;-1814
665;-1996;-1423
666;-822;392
667;-354;-1584
668;-1998;-1414
669;-207;-1389
670;-1309;130
671;-823;-120
673;-132;-908
676;-1538;-392
678;-29;-917
680;-458;-1154
681;-2106;-1007
682;-67;30
684;-1824;-264
685;758;1047
686;1229;3657
687;-1191;-111
691;-1717;-141
692;-1561;70
693;-641;572
694;-302;-1184
695;-128;-832
696;-911;-545
697;-1084;-2031
698;-67;-546
699;-520;-1465
700;-276;-291
701;-377;-1335
702;-838;-1
703;-207;-930
704;-553;-1406
705;177;-1198
706;-355;-1491
708;-998;-1466
709;-576;-367
710;61;-1415
712;179;-782
713;-111;-1380
714;-350;-22
715;-385;-965
716;-478;-1520
717;-905;-586
718;-1789;443
719;-1515;-457
720;-637;605
721;-1216;-48
722;-1646;-1469
723;-1373;-255
725;-1765;1127
726;-1108;517
727;-118;1660
728;-217;-1704
729;-1230;-266
732;-224;-1039
733;-893;666
734;-1601;-50
735;-343;-257
738;-585;174
740;-2228;1496
744;-1446;-226
745;-1603;963
747;-1417;890
749;-1263;-264
751;-1397;-167
753;1219;3
754;2464;1387
755;-439;-1405
756;1003;-1796
758;-105;1295
759;413;-641
760;597;-1100
761;-273;-421
762;-18;-1295
763;-485;-1113
764;189;709
765;-846;-289
766;-338;-1121
767;-920;-1743
768;2552;300
769;-915;-1057
770;61;-979
771;-215;-1187
772;327;-1616
773;-224;-1683
774;-426;-1274
775;-1159;-815
776;-735;155
777;170;-828
778;-1004;-460
779;-1100;-1348
780;-82;-1379
781;-455;-1110
782;-817;-1610
783;4639;160
784;258;-865
785;-472;-72
786;-324;-415
794;-161;-780
795;511;-2784
796;155;400
804;63;-439
806;813;-2548
807;-283;398
810;1336;2343
812;-1275;-1325
813;-28;-1099
817;3408;-518
818;-564;365
819;-861;-145
820;-174;169
822;-1800;-115
824;1090;1527
825;-267;-506
826;-987;-919
831;-369;1783
835;386;-531
836;395;300
837;-334;492
838;-116;-1013
839;-1918;475
841;-1308;203
842;-894;424
843;-861;-172
844;-445;573
845;-1475;-403
846;-2116;206
847;-1849;-916
849;-84;-918
850;-822;78
852;-132;480
854;-1212;-1487
855;-422;-115
858;204;-769
859;-1619;-980
860;-2253;-285
861;219;463
863;-1118;-252
864;396;-37
867;655;-959
869;317;3071
870;-1308;-1128
872;584;-337
875;-841;-877
878;-513;-60
879;-154;-1430
880;-562;1460
881;28;-2180
883;21;1070
884;-1298;460
888;-1028;-1296
889;-749;-675
890;-753;-661
892;-473;-961
893;-1147;-156
894;145;-901
895;-202;-533
896;-334;-1200
897;752;-20
898;-1460;-761
902;260;-302
903;-558;962
904;51;983
905;-1634;-490
906;-113;-400
907;530;1689
908;-630;220
909;-9471;-7913
911;-620;-202
912;-1681;1260
913;-1605;-407
915;-1645;446
916;-1466;-120
917;-84;-222
918;-885;185
919;-376;660
920;1144;-3047
922;-90;1117
923;-1106;12
924;-1247;292
925;-1395;-341
929;-1603;-485
930;-748;361
931;-28;-619
932;792;-227
933;2168;-1796
934;341;-1044
937;-1653;-599
940;-1444;-734
942;-925;-568
944;-2440;834
945;-55;-633
954;-1201;70
956;-2128;322
957;-798;-1230
959;1211;-1041
967;-99;-70
969;-1084;-842
970;-258;-2294
973;84;-520
974;797;1074
975;-2515;-431
986;79;69
989;5;-1885
991;-459;-2543
992;-1253;-1479
994;-636;58
996;614;212
997;-797;1764
999;-217;-10
1000;-593;-224
1001;207;-1110
1003;-630;-362
1004;611;-1150
1005;-1506;-18
1006;176;407
1009;313;-1289
1010;-611;43
1011;-1844;715
1012;-1673;-658
1013;113;-143
1014;426;197
1015;1098;-208
1016;264;-1145
1017;1140;-413
1018;552;-1153
1019;590;-984
1020;91;-849
1021;437;193
1022;1091;-215
1023;-579;-19
1024;446;194
1025;1177;-1420
1026;-416;-1625
1027;7;-735
1028;-305;-2322
1029;-184;-2274
1030;-241;-2298
1031;-242;-2310
1032;-1470;-493
1033;-266;-2313
1034;-200;-2287
1035;-238;-2289
1036;-256;-2313
1037;-194;-2278
1038;-416;724
1039;-9;-2307
1040;-176;-2258
1041;-288;-2312
1042;-227;-2295
1043;-248;-2292
1044;-277;-2312
1045;-211;-2286
1046;-271;-2302
1047;729;303
1048;-2561;1265
1049;1229;556
1050;1197;1066
1051;60;370
1052;602;2199
1053;609;2207
1054;590;2206
1055;618;2202
1056;-13;427
1057;46;-639
1058;626;2195
1059;599;2208
1060;-72;-226
1061;613;279
1062;1023;595
1063;-157;-41
1064;833;-40
1065;-3735;-2578
1066;-4047;-2940
1067;-332;494
1068;-4029;-2935
1069;-4040;-2932
1070;-4035;-2943
1071;-2689;-110
1072;-4042;-2922
1073;-2411;-1978
1074;-4031;-2924
1075;-219;3265
1076;373;-428
1077;-361;59
1078;-280;3828
1079;-287;3817
1080;-275;3821
1081;-294;3822
1082;-289;3831
1083;-301;3829
1084;-1149;1876
1085;728;2206
1086;-304;3818
1087;-1055;1917
1088;-909;1692
1089;906;2630
1090;794;2141
1091;507;3249
1092;-278;3811
1093;-971;3156
1094;-377;1629
1095;762;3421
1096;-1118;3346
1097;-289;3806
1098;-299;3809
1099;377;2540
1100;829;3466
1101;-402;996
1102;-695;1601
1103;1034;1999
1104;1138;2447
1105;-938;465
1106;1924;1942
1107;-1752;-1306
1108;-982;887
1109;-2213;-1873
1110;825;1354
1111;801;1497
1112;-2213;-1864
1113;-2193;-1886
1114;-2222;-1857
1115;-2202;-1881
1116;408;428
1117;1246;1360
1118;-556;1941
1119;-2224;-1843
1120;-2205;-1870
1121;359;-284
1122;874;1411
1123;753;450
1124;-2213;-1854
1125;20;407
1126;1655;1116
1127;-991;-527
1128;-2186;-1882
1129;-2198;-1868
1130;-1789;-1013
1131;-589;353
1132;-2386;-1278
1133;-1918;-272
1134;-139;-863
1135;-2394;-1282
1136;-2367;-1328
1137;-804;-704
1138;-892;-1
1139;-1540;-429
1140;-2395;-1271
1141;-1359;-217
1142;-2379;-1288
1143;-2017;3507
1144;-2509;3853
1145;-2491;3847
1146;-2500;3847
1147;402;569
1148;-302;-1652
1149;891;918
1150;150;-500
1151;886;913
1152;-1361;-1584
1153;-1714;-403
1154;890;903
1155;299;1403
1156;-1204;-239
1157;-1098;289
1158;-567;522
1159;-677;141
1160;877;916
1161;870;921
1162;871;895
1163;863;915
1164;873;908
1165;-1136;-670
1166;866;903
1167;881;888
1168;881;900
1169;-1144;-620
1170;858;905
1171;575;-66
1172;869;886
1173;766;888
1174;1177;1284
1175;1195;1269
1176;590;-578
1177;1166;1287
1178;1184;1278
1179;-964;344
1180;1184;1270
1181;-2376;-1308
1182;-2384;-1313
1183;-2359;-1337
1184;-2428;-737
1185;-2383;-1302
1186;-2414;-1050
1187;-2393;-1295
1188;-2364;-1318
1189;-2092;-1375
1190;-2386;-1291
1191;-2275;-1425
1192;-1217;180
1194;-2374;-1317
1195;-2367;-1306
1196;-3788;-2060
1197;-4238;-2281
1198;-4227;-2276
1199;-3854;-1915
1200;-1766;1593
1201;-2985;1678
1202;-2995;1676
1203;-1664;322
1204;-2979;1671
1205;-1846;-596
1206;-2983;1661
1207;-2996;1655
1208;-2991;1666
1209;-3001;1665
1210;-1350;-665
1211;-1664;385
1212;-2983;1652
1213;248;1631
1214;501;1122
1215;538;1101
1216;-801;-764
1217;173;2013
1218;58;304
1219;1357;2471
1220;733;1911
1221;491;4260
1222;521;4787
1223;-416;3455
1224;507;4789
1225;562;2465
1226;402;2867
1227;-42;3289
1228;-12;2368
1229;324;2036
1230;-351;2686
1231;672;3575
1232;507;4781
1233;434;2654
1234;504;2432
1235;463;3917
1236;492;2978
1237;531;4772
1238;518;4777
1239;529;4780
1240;-45;3121
1241;246;3749
1242;494;4779
1243;519;1595
1244;503;4774
1245;-1181;2976
1246;711;2733
1247;511;4769
1248;488;4770
1249;447;3030
1250;579;2377
1251;1;2963
1252;499;4765
1253;1119;2798
1254;763;4499
1255;234;3426
1256;490;4761
1257;518;4764
1258;371;2184
1259;526;3813
1260;748;2050
1261;529;4764
1262;359;2651
1263;536;4758
1264;760;3564
1265;477;2247
1266;529;4751
1267;352;2847
1268;666;4445
1269;494;4752
1270;503;4747
1271;520;4756
1272;359;2367
1273;512;4749
1274;505;4757
1275;719;2125
1276;520;4745
1277;1563;2732
1278;-733;1577
1279;-673;1621
1280;-700;1610
1281;-706;1592
1282;-676;1629
1283;-726;1586
1284;-93;819
1285;-686;1605
1286;-713;1583
1287;503;737
1288;-706;1602
1289;2045;3059
1290;-97;2343
1291;192;-251
1292;-866;-490
1293;-921;-488
1294;-685;958
1295;638;4746
1296;731;4418
1297;2;2706
1298;660;5255
1299;664;3773
1300;550;3503
1301;667;5250
1302;465;2533
1303;663;5242
1304;348;649
1305;153;-759
1306;50;847
1307;75;839
1308;72;847
1309;755;112
1310;83;845
1311;-1845;1204
1312;1154;-436
1313;1803;-446
1314;1797;-461
1315;1796;-451
1316;1801;-436
1317;1463;1052
1318;249;-1709
1319;1792;-442
1320;1788;-467
1321;1781;-462
1322;1047;0
1323;1787;-455
1324;-770;66
1325;-20;477
1326;1790;-434
1327;1798;-426
1328;3789;-1628
1329;4231;-1935
1330;4230;-1946
1331;485;-494
1332;4219;-1938
1333;4217;-1947
1335;4214;-1924
1336;4216;-1931
1337;815;-966
1338;1470;-1314
1339;1463;-1322
1340;947;1310
1341;569;-419
1342;-95;-2610
1343;-167;-3355
1344;1692;1344
1345;2819;484
1346;-1235;71
1347;2079;1761
1348;1845;1097
1349;797;1650
1350;-215;-1098
1351;870;1890
1352;2073;1757
1353;2065;1765
1354;1033;965
1355;1726;1343
1356;2056;1768
1357;1041;1243
1358;2047;1765
1359;1527;-67
1360;2058;1757
1361;2069;1751
1362;-211;-867
1363;1913;882
1364;2042;1758
1365;2347;1469
1366;1325;1804
1367;1396;-746
1368;2077;1744
1369;2083;908
1370;2618;1143
1371;2244;966
1372;2622;1133
1373;2063;922
1374;2171;-550
1375;1271;402
1376;2610;1125
1377;2612;1134
1378;122;977
1379;1024;1674
1380;1417;1828
1381;2604;1139
